0, 0, 45, -365, -296
0, 69, 10000, 10000, -276
0, 69, 10000, 10000, -265
558, 488, 10000, 10000, 129
1117, 977, 10000, 10000, 95
1186, 1256, 10000, 10000, 90
1186, 1256, 9852, 10000, 140
1605, 1605, 7990, 8737, 47
1745, 1605, 6336, 9022, 138
1745, 1605, 6255, 8168, 93
1815, 1535, 10000, 1793, -222
1605, 1745, 9025, 3380, -235
1605, 1745, 9539, 1866, -307
1047, 1884, 7756, 6470, -222
1047, 1815, 3592, 10000, 126
1047, 1815, 416, 10000, 255
1466, 1535, 3352, 9936, 57
1745, 1117, 8728, 5120, -47
1605, 1466, 5069, 7312, 133
1605, 1466, 2199, 9726, 155
1605, 1605, 6674, 3335, -157
1466, 1605, -2585, 10000, 897
1466, 1605, -9999, 10000, 784
1675, 977, 10000, 4687, -223
1745, 837, 9011, 6797, 138
1745, 837, 8079, 8256, 233
1675, 1535, 3100, 7743, 125
1884, 1466, 3922, 4967, 53
1884, 1466, -5846, 10000, 839
1954, 1326, -6228, 10000, 980
2024, 488, 3904, 10000, 293
2024, 488, -1446, 10000, 1140
2164, 488, -9999, 10000, 1789
2303, 349, -9999, 10000, 2036
2234, -487, 137, 10000, 1559
2234, -487, -8092, 10000, 2245
2373, -557, -9249, 10000, 2286
2443, -836, -9999, 10000, 2548
2443, -836, -6394, 10000, 1922
2443, -1255, -1217, 10000, 2154
2513, -1046, -7334, 10000, 2382
2513, -1046, -5533, 10000, 2082
2513, -836, 3166, 10000, 1443
2513, -766, 896, 10000, 1703
2513, -766, 5227, 10000, 1355
2652, -208, 4846, 10000, 1139
2583, 279, 3509, 10000, 737
2513, 558, 9400, 8437, 487
2513, 558, 1825, 10000, 918
2443, 1047, -442, 10000, 605
2373, 837, 8877, 3488, 11
2373, 837, 10000, 1103, 10
2234, 1186, 9735, -35, -173
1675, 1605, 8501, 1558, -229
1675, 1605, 8807, 454, -283
1186, 2024, 4434, 5376, -291
1326, 1954, 4085, 4384, -248
1326, 1954, 2330, 5213, -171
1535, 1745, 1660, 4680, -107
1535, 1396, 5852, 3161, -187
1535, 1396, 3953, 6157, 12
1466, 1326, 4811, 5391, -111
1466, 1396, 5055, 5711, -18
1605, 1326, -7171, 10000, 837
1605, 1326, -7499, 10000, 742
1745, 349, 6339, 10000, 478
2094, 209, 1133, 10000, 1029
2094, 209, 2631, 10000, 994
2094, 488, 5370, 10000, 295
2164, 418, 4850, 10000, 944
2164, 418, -5583, 10000, 1073
2024, 907, 10000, -9999, -1996
1884, 558, 10000, -932, -113
1884, 558, 433, 10000, 1280
1186, 1256, 5465, 10000, -321
1815, 1117, 10162, 4878, -4
1815, 1326, 10000, -5501, -743
1815, 1326, 10000, -664, -190
1047, 1954, -2447, 10000, 748
1256, 1535, -9999, 10000, 1138
1256, 1535, -9999, 10000, 2242
1954, 139, -9999, 10000, 1084
2164, -487, 10000, 8673, 307
2164, -487, 5413, 10000, 1229
2164, 418, -7454, 10000, 1349
2583, 418, -9999, 10000, 2118
2583, 418, -9999, 10000, 2038
2234, -68, -8730, 10000, 1682
2303, -906, -6273, 10000, 1973
2303, -906, -7365, 10000, 2150
2303, -976, -4205, 10000, 1827
2373, -836, -3164, 10000, 1831
2513, -976, -4809, 10000, 1776
2513, -976, 4462, 10000, 1326
2513, -627, 10000, 6440, 94
2513, 209, 747, 10000, 1166
2513, 209, 6842, 10000, 217
2443, 628, 10000, 2953, -120
2164, 977, 10000, -1988, -476
2164, 977, 10000, -9999, -1457
1535, 1675, 10000, -9999, -2437
418, 1884, 10000, -9999, -1862
418, 1884, 10000, -9999, -3188
-417, 2094, 10000, -9999, -3731
-906, 2303, 10000, -9999, -3252
-1395, 2303, 10000, -4166, -2489
-1395, 2303, 10000, -9999, -3715
-1395, 2652, 10000, -9999, -3063
-1674, 2652, 10000, 3677, -2211
-1674, 2652, 10000, -9999, -3982
-836, 2513, 10000, -9999, -4344
-1046, 2652, 10000, -9999, -2670
-1046, 2652, 10000, -7052, -2610
-1185, 2513, 10000, -9999, -3735
-1465, 2652, 10000, -9999, -3311
-1465, 2652, 10000, -9396, -2816
-1744, 2583, 10000, -9999, -3172
-1744, 2443, 10000, -3691, -2460
-1744, 2443, 10000, 9524, -1984
-1744, 2443, 10000, 10000, -1543
-487, 2513, -683, 10000, 382
767, 2094, 8596, 9130, -351
