0, 0, 240, 150, 188
0, 0, 10000, 10000, 65
418, 418, 10000, 10000, 539
418, 418, 2019, 10000, 839
907, 907, 6190, 10000, 685
1466, 977, 9720, 10000, 475
1815, 977, 7527, 10000, 417
1815, 977, 10000, 1934, -362
2094, 1396, 7133, 10198, 384
1535, 1256, -7489, 10000, 1085
1535, 1256, 3942, 10000, 342
1954, 558, 2246, 10000, 1243
2164, 698, 995, 10000, 364
2164, 698, 10000, 2519, 569
2234, 418, 10000, 4361, 227
1605, 1186, -7154, 10000, 1684
1605, 1186, -9999, 10000, 1263
1815, 977, -6726, 10000, 929
2164, -68, -3533, 10000, 1404
2303, -348, 388, 10000, 1600
2303, -348, -1674, 10000, 1683
2583, -417, 10000, 3915, 260
2303, 279, 10000, -5477, -646
2303, 279, 10000, -7867, -612
1256, 1186, 10000, 3209, -221
698, 1745, 10000, 1181, -997
698, 1745, 10000, -8200, -1423
767, 2024, 10000, 1773, -425
0, 2303, 5009, 10000, -239
0, 2303, 10000, 6427, -745
907, 2094, 8636, 6880, -516
1326, 2094, -3439, 10000, 524
1326, 2094, -9853, 10000, 718
1466, 1535, -9999, 10000, 1543
1745, 0, 9043, 10000, 53
2234, -278, 10000, 9323, 194
2234, -278, 10000, 4666, 35
1954, 1047, 8081, 10064, 417
1745, 1535, -9999, 10000, 1621
1745, 1535, -9999, 10000, 1614
2024, 628, -8765, 10000, 1547
2164, -278, 6024, 10000, 676
2164, -278, 419, 10000, 1243
2373, -68, 5724, 10000, 796
2373, 418, 2542, 10000, 1022
2373, 418, -1189, 10000, 972
2583, 698, -2757, 10000, 956
2443, 279, 1703, 10000, 829
2583, 69, 1671, 10000, 883
2583, 69, 615, 10000, 1062
2583, 279, 287, 10000, 967
2652, 349, -2832, 10000, 1265
2652, 349, -4702, 10000, 1080
2513, 0, 2529, 10000, 597
2652, -68, 9961, 8075, 382
2652, -68, 10000, 4914, 253
2583, 698, 9812, 2394, 155
1954, 1535, -29, 9630, 328
1954, 1535, -2594, 10000, 763
2024, 1466, -1947, 9921, 110
2303, 558, 3506, 7983, 652
2303, 558, 4136, 8358, 330
2234, 488, -2848, 10000, 871
2303, 558, -943, 10000, 1084
2443, 69, -8891, 10000, 983
2443, 69, 1697, 10000, 1311
2652, -278, 8232, 6798, 459
2513, 349, 9414, 4091, -122
2513, 349, 10000, -2718, -169
2024, 1186, 10000, -4172, -958
1047, 1815, 10000, -5078, -1057
1047, 1815, 10000, -466, -682
279, 2234, 10000, 5339, -789
628, 2373, -607, 10000, 149
628, 2373, -6026, 10000, -45
1396, 2164, 2218, 5568, -351
1745, 1186, 6059, 6011, -102
1815, 1186, 6360, 4984, -208
1815, 1186, 9367, 1523, -94
1605, 1396, 8039, 2491, -635
1256, 1815, 10106, -945, -745
1256, 1815, 474, 8211, -13
1047, 2024, 375, 8299, -273
1605, 1396, 6276, 2640, -233
1605, 1396, 1620, 7106, 110
1605, 1186, -1152, 10000, 344
1745, 977, 310, 10000, 473
1745, 977, -2231, 10000, 597
2094, 698, 957, 10000, 498
2303, 488, 3075, 8950, 419
2303, 744, 3372, 6975, 172
2373, 628, 6410, 3300, 208
2024, 1047, 5240, 3212, -25
1675, 1326, 4556, 4568, 75
1675, 1326, 4324, 4604, -125
1466, 1466, 2805, 6622, 23
1675, 1326, 3975, 2748, -149
1675, 1326, 5769, 2582, -153
1605, 1186, 5270, 4934, 9
1466, 1396, 2060, 6199, 8
1466, 1396, 3228, 6306, 224
1675, 1326, 818, 7321, 59
1675, 1186, 2008, 7245, 37
1675, 1186, 7773, -866, -560
1815, 907, 10000, -9999, -1301
1117, 1466, 10000, -6106, -1119
0, 1815, -3592, 10000, 185
0, 1815, 10000, 760, 63914
767, 1884, 10000, -9999, 63404
349, 2024, 10000, -9999, 63297
349, 2024, 10000, -9271, 63904
-627, 2234, 10000, 1761, 63889
-487, 2303, 10000, -7210, 63298
-487, 2303, 10000, 5528, -1331
-278, 2443, 10000, -10157, 63027
-68, 2583, 10000, -9442, 63972
-68, 2583, 10000, -4347, 63782
-487, 2652, 10000, 2032, 63976
-487, 2722, 10000, -780, 63650
-487, 2722, 10000, -1877, 63454
-68, 2722, 10000, -7818, 63605
-348, 2792, 10000, -4245, 63708
-557, 2792, 10000, -1543, 63668
-557, 2792, 10000, 1056, -1134
-487, 2792, -10194, 10000, 484
279, 2303, -9999, 10000, 386
279, 2303, 10000, 341, -1504
1117, 1117, 10000, -9999, 62250
558, 1675, -9999, 10000, 2375
558, 1675, -9999, 10000, 3604
488, 1396, -8098, 10000, 380
1326, 209, 10000, -9004, -1447
1326, 209, 10000, -9999, 61731
1326, 418, 10000, -9999, -930
0, 1396, 10000, 10000, -167
139, 1745, 7517, 10000, -182
139, 1745, 10000, 10000, -155
1117, 2024, 2571, 10000, 55
1745, 1815, 247, 10000, 196
1745, 1815, 6361, 4744, -238
2164, 1396, 10000, -474, -256
1745, 1675, 5918, 3646, -114
1745, 1675, 826, 7691, 461
1256, 1815, 3029, 8744, -145
1466, 1466, 10000, -267, -420
1466, 1466, 7034, 4116, -181
1396, 1745, 3906, 4943, 12
1186, 1815, 3201, 5077, -372
1186, 1466, 7573, 3267, -169
1326, 1466, 3353, 7566, 26
1396, 1605, 2055, 6983, -35
1535, 1326, 6738, 4606, -135
1535, 1326, 9341, 325, -112
1396, 1605, 3216, 5114, 63
1256, 1745, 2824, 5369, -95
1256, 1745, 5606, 1968, -325
1396, 1396, 5967, 3524, 214
1186, 1605, 4743, 4865, -97
1186, 1605, 6269, 5168, -201
1326, 1535, 3591, 5360, -36
1326, 1535, 3442, 5399, 46
1326, 1535, 3976, 5425, -51
1396, 1396, 4566, 6398, 1
1466, 1396, 4863, 3968, 240
1466, 1466, 3079, 5132, 114
1466, 1466, 3118, 5194, 130
1466, 1396, 3416, 5396, 47
1466, 1326, 5457, 3834, -249
1466, 1326, 5065, 4374, 17
1466, 1535, 3582, 3683, -18
1466, 1466, 6261, 1621, -191
1466, 1466, 4874, 3177, -103
1256, 1535, 3183, 6062, 13
1396, 1466, 4117, 4258, -5
1396, 1466, -4990, 10000, 551
1535, 1466, -3850, 10000, 323
1815, 767, 732, 10000, 550
1815, 418, 8661, 4163, 436
2234, 418, 10000, -522, -226
2164, 977, 10000, -7433, -561
1186, 1675, 9548, 5124, -71
1186, 1675, 4839, 7747, 117
767, 1954, 6289, 7408, -223
1466, 1815, 9991, -2999, -360
1466, 1815, 7906, -1392, -373
