0, 0, 0, 1280, 32
0, 0, 1050, 1350, 32
0, 33, 1049, 1351, 32
0, 33, 1048, 1352, 32
507, 1034, 1048, 1352, 32
1320, 1034, 1047, 1353, 32
1320, 1452, 1046, 1354, 32
1551, 1994, 1046, 1354, 32
1551, 1269, 1045, 1355, 0
962, 1269, 1345, 1055, 16
962, 1269, 1346, 1054, 16
1074, 962, 1347, 1053, 16
1745, 962, 1347, 1053, 16
1994, 1074, 1649, 751, 8
1994, 1074, 1650, 750, 8
1613, 900, 1652, 748, 8
1861, 900, 2407, 65529, 12
1994, 900, 1961, 439, 4
2148, 900, 1965, 435, 4
2420, 900, 1968, 432, 4
2420, 900, 1972, 428, 4
2234, 900, 1975, 425, 4
2074, 900, 1978, 422, 4
2327, 900, 1982, 418, 4
2327, 900, 1985, 415, 4
2074, 900, 1989, 411, 4
2148, 900, 1992, 408, 4
2234, 900, 1696, 704, 8
2234, 900, 1698, 701, 8
1861, 900, 1700, 700, 8
1745, 50, 1403, 997, 16
1745, 50, 1403, 997, 16
1551, 846, 1404, 996, 16
1551, 1708, 1405, 995, 16
1551, 1708, 1405, 995, 16
1528, 1708, 1406, 994, 0
1642, 997, 1107, 1293, 32
1551, 997, 1106, 1294, 32
1551, 968, 1105, 1295, 32
1074, 1642, 1105, 1295, 32
1074, 1708, 1104, 1296, 32
1214, 1708, 1103, 1297, 0
1214, 1214, 1403, 997, 16
1329, 1214, 1404, 996, 16
1528, 997, 1405, 995, 16
1642, 997, 1405, 995, 16
1642, 1163, 1406, 994, 16
1469, 1163, 1407, 993, 16
1551, 1163, 1708, 692, 8
1936, 1163, 1710, 690, 8
1936, 1163, 1712, 688, 8
1861, 754, 1714, 686, 8
1936, 754, 1717, 683, 8
1861, 754, 2471, 65464, 12
1936, 754, 2027, 373, 4
2420, 754, 2031, 369, 4
2234, 754, 2034, 366, 4
2327, 754, 2037, 363, 4
2148, 754, 2041, 359, 4
2420, 754, 2044, 356, 4
2327, 754, 2048, 352, 4
2148, 754, 1752, 648, 8
2234, 754, 1754, 646, 8
1994, 754, 1756, 644, 8
1861, 754, 1758, 642, 8
1994, 94, 1760, 640, 0
2148, 94, 1462, 938, 16
1994, 94, 1463, 937, 16
1994, 962, 1463, 937, 16
1551, 1396, 1464, 936, 16
1551, 1396, 1465, 935, 16
1745, 1074, 1465, 935, 0
1745, 1074, 1466, 934, 0
1613, 1074, 1467, 933, 0
1469, 872, 1166, 1234, 32
1469, 1269, 1166, 1234, 32
1214, 1269, 1165, 1235, 32
1214, 1551, 1164, 1236, 32
1396, 1329, 1164, 1236, 32
1382, 1329, 1163, 1237, 32
1382, 1269, 1162, 1238, 32
1214, 1269, 1162, 1238, 32
