0, 0, 1350, 1050, 16
11, 11, 1350, 1050, 16
11, 11, 1351, 1049, 16
11, 11, 1352, 1048, 16
968, 846, 1352, 1048, 16
1642, 1528, 1353, 1047, 16
1551, 1528, 1354, 1046, 16
1551, 1469, 1354, 1046, 16
1815, 1469, 1355, 1045, 16
1329, 846, 1356, 1044, 16
1329, 846, 1356, 1044, 16
1269, 846, 1357, 1043, 16
1469, 900, 1358, 1042, 16
1469, 1329, 1358, 1042, 0
1528, 1329, 1059, 1341, 32
1469, 1034, 1058, 1342, 32
1469, 1034, 1058, 1342, 32
997, 1469, 1057, 1343, 32
997, 1745, 1056, 1344, 32
1074, 1551, 755, 1645, 64
1074, 1551, 753, 1647, 64
1074, 1642, 751, 1649, 64
872, 1994, 750, 1650, 64
872, 1861, 748, 1653, 64
797, 1745, 745, 2423, 192
797, 1745, 441, 1959, 128
797, 1994, 437, 1963, 128
797, 2327, 734, 1666, 64
797, 2148, 732, 1668, 64
797, 2148, 730, 1670, 64
362, 1745, 728, 1673, 64
362, 1861, 725, 1675, 64
930, 1861, 723, 1677, 64
930, 1815, 721, 1679, 64
1117, 1861, 719, 1681, 0
1117, 1861, 717, 1683, 0
1117, 1815, 1016, 1384, 32
754, 1861, 1015, 1385, 32
754, 1469, 1015, 1385, 32
1163, 1469, 1014, 1386, 32
1469, 1551, 1013, 1387, 0
1469, 1613, 1013, 1387, 0
1074, 1551, 1313, 1087, 16
1074, 1551, 1313, 1087, 16
1320, 1214, 1314, 1086, 16
1745, 1214, 1315, 1085, 16
1745, 1214, 1316, 1084, 16
1551, 1214, 1316, 1084, 16
1329, 1329, 1317, 1083, 16
1329, 1214, 1318, 1082, 16
1396, 1214, 1318, 1082, 16
1613, 1214, 1319, 1081, 16
1613, 1214, 1320, 1080, 16
1396, 1269, 1320, 1080, 16
1396, 1269, 1321, 1079, 16
1396, 1214, 1322, 1078, 16
1551, 1269, 1322, 1078, 16
1469, 1269, 1323, 1077, 16
1469, 1262, 1324, 1076, 16
